code_postal,ville,nb_immeubles_cibles,total_lots_cibles,score_moyen_cibles
74120,MEGČVE,38,864,0.71
44510,LE POULIGUEN,29,863,0.73
74130,BONNEVILLE,26,858,0.66
93110,ROSNY-SOUS-BOIS,22,856,0.71
68300,SAINT-LOUIS,40,854,0.68
69007,LYON,8,854,0.74
95100,ARGENTEUIL,41,849,0.71
71000,MÂCON,29,835,0.68
92420,VAUCRESSON,14,833,0.68
59140,DUNKERQUE,28,832,0.72
70000,VESOUL,17,827,0.7
94400,VITRY-SUR-SEINE,25,827,0.67
92310,SČVRES,19,825,0.69
94340,JOINVILLE-LE-PONT,19,823,0.69
92380,GARCHES,29,807,0.72
74300,ARÂCHES-LA-FRASSE,23,803,0.66
94210,SAINT-MAUR-DES-FOSSÉS,41,803,0.76
60000,BEAUVAIS,32,788,0.72
79200,PARTHENAY,15,785,0.6
72100,LE MANS,22,783,0.65
73290,LA MOTTE-SERVOLEX,14,780,0.71
92270,BOIS-COLOMBES,23,780,0.67
13600,LA CIOTAT,41,779,0.7
78430,LOUVECIENNES,9,778,0.73
74600,ANNECY,19,777,0.71
40480,VIEUX-BOUCAU-LES-BAINS,12,777,0.72
38750,HUEZ,19,776,0.67
77176,SAVIGNY-LE-TEMPLE,13,774,0.76
62200,BOULOGNE-SUR-MER,33,772,0.74
91600,SAVIGNY-SUR-ORGE,28,769,0.72
69140,RILLIEUX-LA-PAPE,16,766,0.7
36000,CHÂTEAUROUX,22,766,0.73
59700,MARCQ-EN-BARŚUL,25,753,0.71
91150,ÉTAMPES,38,751,0.69
95520,OSNY,6,747,0.7
20200,BASTIA,19,746,0.66
75006,PARIS 6ÈME ARRONDISSEMENT,27,739,0.68
76130,MONT-SAINT-AIGNAN,14,738,0.7
73000,JACOB-BELLECOMBETTE,6,733,0.66
76140,LE PETIT-QUEVILLY,10,731,0.72
91800,BRUNOY,16,730,0.72
33110,LE BOUSCAT,26,730,0.71
33100,BORDEAUX,19,730,0.71
79000,NIORT,24,728,0.69
51200,ÉPERNAY,24,721,0.74
73550,LES ALLUES,16,720,0.65
85180,CHÂTEAU-D'OLONNE,11,720,0.68
67380,LINGOLSHEIM,24,719,0.72
91220,BRÉTIGNY-SUR-ORGE,13,716,0.63
93130,NOISY-LE-SEC,28,716,0.69
39000,LONS-LE-SAUNIER,32,712,0.68
6160,ANTIBES,12,710,0.7
95200,SARCELLES,16,709,0.75
34340,MARSEILLAN,20,704,0.68
11560,FLEURY,23,704,0.73
89000,AUXERRE,27,703,0.68
27000,ÉVREUX,32,702,0.68
74390,CHÂTEL,20,702,0.68
39100,DOLE,27,701,0.65
66210,LES ANGLES,17,700,0.7
35800,DINARD,35,699,0.73
56640,ARZON,8,694,0.69
59300,VALENCIENNES,27,691,0.69
66750,SAINT-CYPRIEN,14,688,0.71
73300,SAINT-JEAN-DE-MAURIENNE,18,682,0.73
93600,AULNAY-SOUS-BOIS,24,682,0.72
73120,COURCHEVEL,22,676,0.65
95310,SAINT-OUEN-L'AUMÔNE,19,675,0.74
4260,ALLOS,9,675,0.73
69110,SAINTE-FOY-LČS-LYON,17,668,0.72
31600,MURET,10,667,0.63
95330,DOMONT,7,661,0.71
69600,OULLINS,26,661,0.73
93240,STAINS,18,659,0.76
69130,ÉCULLY,13,657,0.71
83130,LA GARDE,23,656,0.69
59160,LILLE,12,650,0.76
25500,MORTEAU,22,650,0.71
13190,ALLAUCH,9,648,0.67
64140,BILLČRE,20,648,0.76
75004,PARIS 4ÈME ARRONDISSEMENT,17,647,0.69
40000,MONT-DE-MARSAN,17,643,0.74
76620,LE HAVRE,18,638,0.7
92140,CLAMART,40,636,0.66
95300,PONTOISE,20,634,0.66
66700,ARGELČS-SUR-MER,16,632,0.69
39220,LES ROUSSES,15,632,0.71
74110,MORZINE,33,630,0.64
59110,LA MADELEINE,22,630,0.74
13700,MARIGNANE,20,628,0.7
74340,SAMOËNS,20,626,0.67
78330,FONTENAY-LE-FLEURY,7,624,0.6
30660,GALLARGUES-LE-MONTUEUX,3,623,0.8
42390,VILLARS,7,623,0.74
95500,GONESSE,13,621,0.77
91080,COURCOURONNES,8,621,0.76
57200,SARREGUEMINES,27,621,0.68
45160,OLIVET,13,621,0.75
4400,ENCHASTRAYES,5,616,0.68
37540,SAINT-CYR-SUR-LOIRE,13,613,0.64
64500,CIBOURE,22,611,0.7
42400,SAINT-CHAMOND,27,603,0.69
74600,SEYNOD,8,600,0.72
56340,CARNAC,14,597,0.7
78110,LE VÉSINET,22,596,0.73
69002,LYON,7,592,0.67
29900,CONCARNEAU,15,592,0.66
38360,SASSENAGE,15,592,0.69
83270,SAINT-CYR-SUR-MER,21,590,0.7
68170,RIXHEIM,13,587,0.66
59260,LILLE,11,586,0.71
40510,SEIGNOSSE,9,583,0.73
22700,PERROS-GUIREC,13,582,0.69
74170,LES CONTAMINES-MONTJOIE,17,578,0.72
94450,LIMEIL-BRÉVANNES,16,578,0.66
56300,PONTIVY,17,577,0.68
94110,ARCUEIL,18,577,0.68
31110,BAGNČRES-DE-LUCHON,23,577,0.69
93350,LE BOURGET,14,573,0.72
16000,ANGOULĘME,28,572,0.66
