code_postal,ville,adresse,lat,long,lots_habitation,score_immeuble
83400,Hyères,4 r curie 83400 Hyères,43.120412,6.133267,28,0.71
44000,NANTES,4 r de la beraudiere 44000 NANTES,47.226513,-1.546227,28,0.54
84100,Orange,728 r saint-clement 84100 Orange,44.12866,4.802476,28,0.57
66240,Saint-Estève,9 r louise michel 66240 Saint-Estève,42.706199,2.851166,28,0.86
77270,Villeparisis,7 r andre bohec 77270 Villeparisis,48.939345,2.616807,28,0.82
75017,PARIS,42 r de prony 75017 PARIS,48.881931,2.305395,28,0.86
63400,Chamalières,12 av de montjoly 63400 Chamalières,45.775111,3.070733,28,0.71
25300,Pontarlier,98A r des lavaux 25300 Pontarlier,46.905965,6.371506,28,0.89
24100,Bergerac,106 r valette 24100 Bergerac,44.856939,0.475085,28,0.86
92120,MONTROUGE,12 Avenue de la Paix 92120 Montrouge,48.818746,2.310619,28,0.79
38500,Voiron,33B r porte de la buisse 38500 Voiron,45.365008,5.595988,28,0.82
75007,Paris,23 r surcouf 75007 Paris,48.860588,2.309621,28,0.64
13008,Marseille,230 av du prado 13008 Marseille,43.275977,5.388966,28,0.61
18100,VIERZON,8 Rue du Château 18100 VIERZON,47.222771,2.071391,28,0.71
74300,Thyez,90 r des avullions 74300 Thyez,46.079999,6.535829,28,0.68
38480,Le Pont-de-Beauvoisin,300 che de la corniere 38480 Le Pont-de-Beauvoisin,45.53985,5.655126,28,0.71
88190,Golbey,3 r robert schuman 88190 Golbey,48.201328,6.425335,28,0.64
94140,Alfortville,10 r marcelin berthelot 94140 Alfortville,48.81377,2.412533,28,0.82
92240,Malakoff,8 r laforest 92240 Malakoff,48.822471,2.301997,28,0.54
14510,Houlgate,44 r du general leclerc 14510 Houlgate,49.302227,-0.078038,28,0.86
45200,Montargis,229 r emile mengin 45200 Montargis,48.006891,2.74045,28,0.89
36000,Châteauroux,22 r bergson 36000 Châteauroux,46.808867,1.707167,28,0.89
66140,Canet-en-Roussillon,46 prom de la cote vermeille 66140 Canet-en-Roussillon,42.690233,3.03493,28,0.86
37540,Saint-Cyr-sur-Loire,60 r victor hugo 37540 Saint-Cyr-sur-Loire,47.403753,0.668647,28,0.79
31240,SAINT JEAN,14 Impasse des Bitarelles 31240 Saint-Jean,43.661013,1.49321,28,0.79
92340,Bourg-la-Reine,22 av victor hugo 92340 Bourg-la-Reine,48.777075,2.310016,28,0.54
14360,TROUVILLE-SUR-MER,22 bd fernand moureaux 14360 TROUVILLE-SUR-MER,49.36236,0.085833,28,0.82
93270,Sevran,67 Avenue Henri Barbusse 93270 Sevran,48.934176,2.541391,28,0.5
31000,TOULOUSE,56-58 RUE MATABIAU 31000 TOULOUSE,43.612235,1.448457,28,0.57
92600,ASNIERES SUR SEINE,140 av d'argenteuil 92600 Asnières-sur-Seine,48.916807,2.282149,28,0.82
78110,Le Vésinet,37 rte de montesson 78110 Le Vésinet,48.901598,2.13194,28,0.68
63100,Clermont-Ferrand,41 r lecuelle 63100 Clermont-Ferrand,45.791423,3.088836,28,0.86
54710,FLEVILLE DEVANT NANCY,8Br du chateau 54710 FLEVILLE DEVANT NANCY,48.625571,6.203345,28,0.79
73130,LA CHAMBRE,"che des moines, 73130 La Chambre",45.359024,6.303739,28,0.75
74170,SAINT-GERVAIS-LES-BAINS,58 rte de la mollaz 74170 SAINT-GERVAIS-LES-BAINS,45.890174,6.714572,28,0.5
31800,Saint-Gaudens,Place du Pilat 31800 Saint-Gaudens,43.110376,0.720928,28,0.54
74920,Combloux,690 che de mowgly 74920 Combloux,45.894783,6.624327,28,0.75
33470,Gujan-Mestras,11 r du marechal leclerc 33470 Gujan-Mestras,44.638325,-1.070209,28,0.54
33680,Lacanau,3 av jules ferry 33680 Lacanau,45.003287,-1.200425,28,0.82
76140,Le Petit-Quevilly,5B r de la republique 76140 Le Petit-Quevilly,49.433033,1.067694,28,0.79
69110,STE FOY LES LYON,54 av valioud 69110 STE FOY LES LYON,45.743376,4.807368,28,0.86
78610,Le Perray-en-Yvelines,32 r de chartres 78610 Le Perray-en-Yvelines,48.692751,1.853286,28,0.64
11560,FLEURY,TRAVERSE DE BELLEVUE 11560 SAINT PIERRE LA MER,43.18034,3.188147,28,0.86
59140,Dunkerque,160 dig de mer 59140 Dunkerque,51.052113,2.406335,28,0.54
92310,Sèvres,16 r ernest renan 92310 Sèvres,48.820046,2.213817,28,0.75
25000,BESANCON,39 grande-rue 25000 BESANCON,47.238537,6.022939,28,0.57
85100,LES SABLES D'OLONNE,3 pl du marechal foch 85100 LES SABLES D'OLONNE,46.495026,-1.783972,28,0.64
77000,Vaux-le-Pénil,2B r du ru des vaux 77000 Vaux-le-Pénil,48.525824,2.682118,28,0.57
29490,Guipavas,7 r du leon 29490 Guipavas,48.412946,-4.455329,28,0.71
66340,NAHUJA,66340 Nahuja,42.425458,1.993715,28,0.89
94000,CRETEIL,10 r de bonne 94000 CRETEIL,48.80333,2.465898,28,0.71
42490,FRAISSES,5-7 r marcel holtzer 42490 Fraisses,45.387935,4.267485,28,0.5
13016,MARSEILLE,100 mte du pichou 13016 MARSEILLE,43.365533,5.312538,28,0.61
67380,Lingolsheim,1 r du saint gothard 67380 Lingolsheim,48.567724,7.690826,28,0.82
75014,Paris,56 r du pere corentin 75014 Paris,48.824658,2.328457,28,0.5
74520,VALLEIRY,56 r de la gare 74520 VALLEIRY,46.108505,5.967792,28,0.86
89150,SAVIGNY SUR CLAIRIS,122A mardilly 89150 SAVIGNY SUR CLAIRIS,48.080455,3.083665,28,0.64
91230,MONTGERON,31 r d'yerres 91230 MONTGERON,48.70389,2.46898,28,0.61
15300,Laveissière,9 rte du plomb du cantal 15300 Laveissière,45.088298,2.746192,28,0.57
