nom_syndic,nb_immeubles_cibles,total_places_parking
AGENCE CASCINO-DAUGAREIL ,44,2975
RESIDENCES ET PATRIMOINE ,44,2519
CABINET JOURDAN ,44,3525
G.A.B. IMMOBILIER ,44,1806
BILLET GIRAUD PERES ET FILS ,43,1858
AUDITIA GESTION ,43,2257
DELMONTE IMMOBILIER ,43,1920
CABINET LOUIS-BERECOCHEA ,43,2579
SARL MIDI-IMMOBILIER ,43,1851
SARL KALLIA ,43,2944
CABINET COULON ,43,3275
SAVOISIENNE HABITAT SA COOP PRODUC HLM ,43,2210
AGENCE JOFFARD SARL ,43,2528
CHAMBRAS ET ASSOCIES ,43,2431
CITYA BELVIA TOULOUSE ,42,2912
SYNDIC'IMMO ,42,1690
LOISELET & DAIGREMONT PARIS SUD ,42,2431
CITYA CHARLES GILLE ,42,2502
RHONE SAONE HABITAT ,42,1990
CABINET DE GESTION GUY SOUTOUL C.G.S. ,42,3981
CABINET SITEA ,42,2833
AGENCE CAPIMMO ,41,1883
GUERLESQUIN ET ASSOCIES ,41,2015
REGIE CENTRALE IMMOBILIERE ,41,2719
CABINET MARTIN ,41,1229
GRAND SUD IMMOBILIER ,41,2067
IMMOBILIER SAPHIR ,41,3323
ATM SARL ,41,2984
CITYA SOGEXFO ,41,1884
M N GESTION IMMOBILIERE ,41,2895
SYNDIC & CO ,40,1722
BONNOT IMMO ,40,1420
HABITER 35 ,40,1399
FONCIA AGENCE CENTRALE ,40,3211
AGENCE PEYROT ,40,2453
CABINET CORNIL ,40,2406
COME IMMOBILIER ,40,2937
CABINET PAUTRAT ,40,2276
MANDA (EX- HELLO SYNDIC) ,40,2613
CAMAG COPRO ,39,1968
CITYA ESTUBLIER ,39,2152
CEGADIM ,39,1467
CIF COOPERATIVE ,39,2056
SQUARE HABITAT TOULOUSE 31 ,39,2342
CONSEIL INVEST 34 ,39,3534
CITYA NANTES ,39,2367
CABINET BETTI SA ,39,2685
IMMOLYS 21 ,39,2226
BRAS IMMOBILIER SUD LOIRE ,39,2870
ETHIGESTION IMMOBILIER ,39,3474
SARL 2 M M ,39,1518
SYCOGEST IMMOBILIER ,38,1539
LAXE IMMOBILIER ,38,2158
CITYA FRANCE IMMOBILIER ,38,1784
CABINET IFNOR ,38,2201
CITYA POIREL ,38,1979
CABINET IMMOBILIER ALEXANDRE GARRIGOS ,38,2136
VAL DE LOIRE IMMOBILIER ,38,1301
SYMPLICE ,38,2791
SOC IMMOBI GESTION ADMINISTRA ,38,3547
AGENCE BEURDELEY ,37,1087
SOCIETE DE GESTION MERIDIONALE ,37,2292
REGIE GINDRE ,37,2742
4C IMMOBILIER ,37,1677
UNITIA ,37,2852
CITYA JACQUES COEUR ,37,1443
BREST AVENIR IMMOBILIER ,37,1409
SYNDIC 3D ,37,1224
LOZANO GESTION ,37,1048
CITYA CARNOT SYNDGEST ,36,1550
AG IDF - ABRI GESTION ,36,1306
GESTISSIMMO ,36,817
FONCIA AGDA ,36,1483
CABINET BENOIT ,36,1356
ALTER.IMMO ,36,1788
SOC ETUD FINANCE INVESTIS CREDIT ,36,1963
SOCIETE ALBANAISE GESTION IMMOBILIERE ,36,1450
