nom_syndic,nb_immeubles_cibles,total_places_parking
CABINET D.MOISON ,9,1180
AGENCE DU CENTRE ,9,310
MAITENA IMMO ,9,460
AGENCE IMMOBILIERE RODRIGUES ,9,616
MARTINOT IMMOBILIER  NANCY ,9,394
CABINET MONTESQUIEU ASSET MANAGEMENT ,9,280
DREUX IMMOBILIER ,9,852
REGIE DES IMMEUBLES DE CLERMONT ,9,712
REGIE DERVAULT BY GERALDINE ANDRIEUX ,9,349
CITYA GUISSET VALANCHON ,9,605
CITYA GUERET ,9,258
NOVOTIM ,9,464
IMMOBILIERE ATLANTIC AMENAGEMENT ,9,451
MY LITTLE SYNDIC ,9,435
LETELLIER LE ROUX ,9,151
MYCOPRO ,9,807
ALMA ,9,842
KAP IMMOBILIER GESTION ,9,207
KAYSER GESTION ,9,201
KISTNER IMMOBILIER ,9,227
DPG IMMO ,9,477
SAS CABINET REVEILLE ,9,446
PATRIMOINE AVENUE ADMINISTRATEURS DE BIENS ,9,338
SQUARE HABITAT FRANCHE-COMTE ,9,400
COLONNA D'ISTRIA CONSEIL IMMOBILIER ,9,746
PNM SYNDIC ,9,204
GRW IMMOBILIER ,9,468
GUEFFIER IMMOBILIER ,9,232
CENTER IMMO CONCEPT ,9,558
NEWGEST ,9,293
ZAVANI & COMPAGNIE ,9,281
IMMOBILIERE DES ROHAN SYNDIC ,9,202
IMMOBILIERE DU BETHUNOIS ,9,150
NO.GES.TIM ,9,179
IMMOBILIERE EUROPE SEVRES ,9,591
CHURCHILL II ,9,243
ATHENA-GESTION ,9,766
URBANIA MACON REGIE LAMARTINE ,9,370
CHOMETTE ,9,305
GESTION IMMOBILIERE COTE ROCHE ,9,392
FRATELLIMMO ,9,650
AGETIS ,8,706
SYNDIC LAURENT GUILLEMOT ,8,176
VALLET IMMOBILIER ,8,237
VAR SYNDIC ,8,361
AUBE IMMOBILIER ,8,320
CHP IMMO ,8,308
TERRE ET PIERRE GESTION ,8,294
NOSA IMMOBILIER ,8,308
NAI NORD AVEYRON IMMOBILIER ,8,259
GESTION-TRANSACTION-CONSEIL-IMMOBILIER ,8,430
HAPHIL IMMOBILIER ,8,334
HESTIA IMMOBILIER ,8,359
HEUDES  LAINE IMMOBILIER ,8,183
HABITAT CONFORT IMMOBILIER ,8,254
CABINET GIRONDIN ,8,220
CABINET DE PONTBRIAND ,8,230
CABINET D'HAUTEFEUILLE ,8,119
JURISCOPRO IMMOBILIER ,8,345
AGENCE DE CHAMPIGNY ,8,162
MAIHOME ,8,846
DS NORMANDIE IMMOBILIER ,8,530
SEBASTIAN IMMOBILIER ,8,604
SCHWANEBECK-SEDRATI & BAUCHE ,8,364
SARL BAILLET PATEL IMMOBILIER ,8,672
SARL CABINET BERTHOZ ,8,388
CABINET LAUGIER-FINE ,8,433
BEAUVALLON IMMOBILIER ,8,351
ISULA SYNDIC ,8,650
J.D. COMPIEGNE IMMO ,8,294
MATHIS IMMEUBLES SARL ,8,223
BONNIER -  VERNET - FLOCH GEOMETRES-EXPERTS ,8,358
I M A P ,8,327
CABINET LORIEUX ,8,327
G F ROUSSILLON INVESTISSEMENT ,8,467
FONCIA MARSEILLE ,8,886
AGENCE GRIFFON GUEGUEN IMMOBILIER ,8,231
CABINET DEVAUX SARL ,8,204
S.A.J IMMO ,8,298
IMMONIER ,8,195
PARIS OUEST GESTION ,8,525
CABINET M.POULET ,8,260
BASTIA IMMOBILIER ,8,483
PIERRE IMMOBILIER ,8,360
PIERRE ET GESTION ,8,490
PERLE DES ALPES IMMOBILIER ,8,167
L'IMMOBILIERE DES CALANQUES ,8,341
L'IMMOBILIERE DU CENTRE VAR ,8,521
ANTOINE IMMOBILIER ,8,336
SOGIRE ,8,1022
AGENCE ATHENA ,8,356
SIONNEAU GESTION IMMOBILIER ,8,272
DH4 PARTENAIRE IMMOBILIER ,8,285
SJLB ,8,495
GERALPHA GESTION ,8,403
FONCIA NICE ,8,802
AGENCE BIC CHANGEUX ET ROUX ,8,327
DAMOISEAU.IMMO ,8,464
OP IMMOBILIER ,8,170
BELLEROCHE S A ,8,359
IMM'GEST ,8,200
MODINI ET FILS ,8,549
RB COPRO ,8,565
FIDUCIAIRE DU DISTRICT DE PARIS ,8,748
SARL AGENCE CAP ,8,434
R'IMMO ,8,139
AJL IMMO ,8,129
MAVILLE IMMOBILIER - ADB PARIS-NORD ,8,511
JANIN IMMOBILIER ,8,164
MDG COTE FLEURIE ,8,499
SYNDIC PARTIE COMMUNE ,8,378
APROPRIA ,8,259
LA CENTRALE IMMOBILIERE DU LANGUEDOC ,8,216
AGENCE JEANNE D'ARC ,8,486
REGIE MOLIERE ,8,439
REGIE MONPLAISIR ,8,290
GANIM IMMOBILIER ,8,273
GERANCIMO LITTORAL ,8,349
GERANCIMO ROUEN ,8,411
GESSIC MARTINE ,8,530
REGNAULT IMMOBILIER ,8,268
GESTION ADMINISTRATIVE TECHNIQUE FINANCIERE DE L'IMMOBILIER ET LA CONSTRUCTION ,8,382
TAILORCOPRO ,8,833
COSY HOME ,8,273
COTES & SUD MEDITERRANEE GESTION ,8,201
CABINET RABAU DARCHAND ,8,484
NOYAU IMMOBILIER ,8,303
ALLSIMMO ,8,480
ADMI IMMO ,8,108
"LA MAISON POUR TOUS, SOCIETE ANONYME COOPERATIVE D'INTERET COLLECTIF D'HLM A CAPITAL VARIABLE. ",8,264
ASSET MANAGEMENT SERVICES ,8,444
CITYA QUIMPER ,8,242
SARL ROMEYER ,8,271
SARL L'IMMOBILIER DU FUTUR ,8,399
SARL IRIS IMMOBILIER ,8,468
CABINET GARRAUD MAILLET ,8,734
AGENCE IMMOBILIERE AQUITAINE ,8,364
FIPRIM IMMO ,8,295
LC IMMOBILIER ,8,190
VIWAGEST S.A.S.U ,8,223
LAGRANGE SYNDIC IMMOBILIER ,8,705
VIANOVA GESTION ,8,555
WINTER & ASSOCIES ,8,114
GESTION SYNDIC LEMAN ,8,361
GESTI'NOV ,8,363
GESTION IMMOBILIERE ,8,277
CILEAD ,8,392
TSI GESTION ,8,351
GESTIMMA ,8,383
A3 IMMO ,8,168
UNION COMMERCIALE IMMOBILIERE ,8,480
VAL DE BIEVRE SYNDIC ,8,528
IMMOBILIERE DU CHAMPS DE MARS ,7,157
TERRES D'OUEST IMMOBILIER ,7,244
AD IMMOBILIER ,7,308
CITYA BELVIA CHALON SUR SAONE ,7,262
ATIS PLUS ,7,141
LES RESIDENCES SOCIETE ANONYME D'HABITATIONS A LOYER MODERE ,7,463
SAINT LOUIS IMMOBILIER ,7,323
SARL IMMOBILIER BEL AIR ,7,178
SAFIR IMMO INVESTISSEMENT ,7,412
AGENCE HENRY ,7,217
JMB ETUDES SARL ,7,399
MARLIER IMMOBILIER ,7,177
JAGORA ,7,234
CABINET GEST IMMOB B Y LE GOFF ,7,457
SAS LG IMMOBILIER ,7,398
ETHIK HABITAT ,7,353
ETUDE CARAUDREY TRANSACTIONS ET GESTION E.C.T.G ,7,275
AGORA ,7,165
AGUILAR IMMOBILIER ,7,761
AGENCE PERIER GIRAUD ,7,528
C&M IMMOBILIER ,7,248
QUINCONCES IMMO ,7,225
RAMBAUD IMMOBILIER ,7,359
CABINET G. CARDINAL ,7,455
CABINET DUMOULIN ,7,287
AMS IMMOBILIER ,7,120
MICHEL LATY ,7,137
J'ESTIMMO ,7,296
J. LESIEUR ET COMPAGNIE ,7,199
INFINE CONSEILS ,7,654
AMOR'IMMO ,7,647
J M B IMMOBILIER ,7,153
REGIE BERTHAUD ,7,271
AGENCE IMMO DE BRAUWER ,7,222
RELAIS IMMO ,7,395
AGENCE METAYER ,7,178
SARL TRACOGEST ADMINISTRATION DE BIENS ,7,378
ENERGISSIMO ,7,215
SDC 22 ,7,462
ELYO ,7,123
CABINET LARIGAUDRY SA ,7,363
AGENCE EUROPEENNE GESTION ,7,417
CABINET LCM'S ,7,239
SARL AIS DINAN ,7,511
CABINET IMMOBILIER DROMSON ,7,287
"KAPPA ""le village de l'immobilier"" ",7,227
HEURTAULT IMMOBILIER ,7,164
H4 IMMOBILIER ,7,757
HABITAT CONTACT SARL ,7,241
PYB SYNDIC ,7,271
GUIONNET*MARTINE JEANNE/ ,7,248
PORT LEUCATE IMMOBILIER ,7,745
C&V IMMO ,7,150
SASU INTERPLAGES ,7,395
EDDY ROCHEREAU IMMOBILIER ,7,264
SERVICE GESTION IMMOBILIER ,7,156
DREUX GESTION SAS ,7,247
CABINET MARIETTE ,7,104
AGENCE CENTRALE IMMOBILIERE ,7,240
MARTINOT IMMOBILIER GESTION ,7,348
CABINET DE GESTION IMMOBILIERE PIETRI & BOCCARA ,7,344
AGENCE IMMOBILIERE DES KARANTES ,7,230
SABIMO ,7,754
S.G.B.IMMO ,7,246
CABINET CONSEIL LEGENDRE ,7,249
CABINET CPI ,7,771
DARNEZ IMMOBILIER ,7,386
ICAZA IMMOBILIER ,7,350
ORKAN MANAGEMENT ,7,607
OTIM ,7,201
OUEST IMMO ,7,1479
BPY IMMOBILIER ,7,1181
PEYROU MULTI SERVICES ,7,393
CABINET IMMOBILIER DUCREUX GERALD ,7,167
IMMOTHENTIC ,7,391
SIRI*LUC/ ,7,387
AFFAIRES A SUIVRE ,7,404
AFG IMMOBILIER ,7,137
AGENCE ADOBATI ROLLAT ,7,120
SOGIM SARL ,7,227
CABINET MICHOT ,7,563
SOC DE GESTION ET DE SURVEILLANCE ,7,728
L'IMMOBILIERE DE LA SARDINE ,7,550
AZ COPRO ,7,207
L'AGENCE VALENTIN ,7,81
BH SYNDIC ,7,249
BILLOT ET GIRARDOT ,7,219
BOBAY GESTION IMMOBILIERE ,7,266
IMMIUM RIVE GAUCHE LAEMMEL ,7,178
IDEIS - IMMOBILIERE DE DEVELOPPEMENT ECONOMIQUE ET D'INNOVATION SOCIALE ,7,185
IF BERCK ,7,543
ALLIANCES DEVELOPPEMENTS ,7,269
ALTISS ,7,473
MONSIEUR SYNDIC ,7,437
ALLIANCE COPRO ,7,91
RGR GESTION CONSEILS ,7,263
REGIE VINCENT TARGE ,7,426
GERANCE JAYER ,7,415
REGIE SAVASTA ,7,332
REGIE D'IMMEUBLES BONNEFOY ,7,377
G.S.T.E. GESTION SYNDIC TRANSACTIONS ,7,211
L.T.G.S. ,7,109
LA BOUTIQUE DE COPROPRIETES ,7,591
SURWEB ,7,131
COTRIMO GESTION ,7,324
TASSOU GESTION ,7,352
CITYA SAGI IMMOBILIER ,7,981
LOGERIM ,7,186
COGERIL SA ,7,310
COGERIM - MONTAGNE ET LIATOUT ,7,231
LA MARINE IMMOBILIER ,7,268
CAPVALIM ,7,355
CAMELLO ,7,602
ACI - CAZES IMMOBILIER ,7,186
ACM HABITAT (OFFICE PUBLIC DE L'HABITAT DE MONTPELLIER MEDITERRANEE METROPOLE) ,7,525
IMMOBILIERE DE LA PRESQQU'ILE ,7,196
IMMOBILIERE LAURENCE ENGOUANG ,7,91
OFFICE PUBLIC DE L'HABITAT DE LA VILLE DE TROYES ,7,178
OFFICE PUBLIC DE L'HABITAT DU DEPARTEMENT DE LA LOIRE ,7,186
NOV'AGENCE ,7,148
O.L.T ,7,335
CLERMONT PROVINCE ,7,284
ACTIV'SYNDIC ,7,619
TRAIL IMMO 74 ,7,235
CABINET TAPISSIER & ASSOCIES ,7,358
CITYA IMMOBILIER PLANCHON ,7,338
THE NEW AGENCY LA NOUVELLE AGENCE ,7,260
REGIE LOMBARD ,7,347
AGENCE TEYSSIER IMMOBILIER ,7,209
CABINET BALLU ,7,467
GEX IMMOBILIER ,7,230
CABINET B. CARTALLIER ,7,264
CABINET ARRONDEL ,7,420
CARELIMMO ,7,144
CITYA BELVIA ALBI ,7,456
VALEA IMMO ,6,168
VIAUD ,6,697
VK CHALONS EN CHAMPAGNE ,6,142
A L'UNISSON ,6,413
AA SAINT PIERRE ,6,254
ZTIMMO ,6,243
VILLAUME ,6,223
LAMOUREUX IMMOBILIER ,6,454
35 MILLIEMES ,6,236
OFFICE PUBLIC DE L'HABITAT DU NORD ,6,370
OFFICE DE GESTION IMMOBILIERE ,6,256
MP IMMOBILIER ,6,504
MS SYNDIC ,6,331
CANOPEE GESTION VAL D'OUEST ,6,483
CITYA URBANIA ETOILE ,6,691
OFFICE DE GESTION ET DE TRANSACTIONS ,6,214
IMMO'SYNDIC ,6,102
LES 4 OLIVIERS ,6,207
ADMINISTION D'IMMEUBLES ROSIER ET MODICA ,6,616
SYNDXPERT ,6,232
CLEFED IMMOBILIER ,6,278
SOCIETE NORMANDE DE GESTION IMMOBILIERE ,6,225
SOCIETE SICO ,6,180
SOGES ,6,175
MODUS-IMMOBILIER ,6,217
MICHEL NICOLAS ,6,273
MASCLOT*DEBARD/SANDRA MARTINE JACKIE/ ,6,214
AGES2P SAVIER ,6,133
BBI TRANSACTIONS ,6,117
G&E GESTION ,6,340
REGIE HORVATH & ASSOCIES ,6,635
CABINET DEBIEVRE SARL ,6,259
AGENCE IBAIA ,6,182
REGIE COLLIER ,6,132
FONT ROMEU IMMOBILIER ,6,141
FRANCIMMO MAICHE ,6,81
CABINET CARNIEL SARL ,6,313
FOSSAC SYNDIC ,6,786
FOUINEAU IMMO ,6,644
CONCEPT GESTION PLUS ,6,334
CONSEILS COPRO ,6,632
AF GESTION BONNEL ,6,500
SOCIETE DELIAS ,6,170
ALT'IMMO-GEST.COM ,6,161
BERNOLE IMMOBILIER ,6,65
BERTAUX-HAMON ,6,219
CABINET OLLIERIC ,6,144
CRETEIL HABITAT SEMIC ,6,681
CROSNIER SAS ,6,499
LOGIS MEDITERRANEE ,6,532
CABINET LEDUCQ ,6,423
SPI ,6,202
SOJY ,6,211
CABINET ORIOL ,6,295
GRANDLYON HABITAT - OFFICE PUBLIC DE L'HABITAT ,6,224
AJACCIO IMMOBILIER ,6,440
ETUD GEST IMMO NORD EST ,6,1149
EUREKA SYNDIC ,6,271
CABINET G MANNEVILLE ,6,281
CABINET EMMANUEL TOUATI SARL ,6,425
REAL CONSEIL ,6,253
GONTIER CECILE ,6,278
GIMS SYNDIC ,6,283
FB IMMO ,6,416
FAUBOURG IMMOBILIER ,6,415
SARDANE INVESTISSEMENT ,6,65
MAXIMO ,6,326
AGENCE ATLANTIQUE L'IMMOBILIER EN OLERON ,6,220
AVENIR GESTION IMMO ,6,543
L'IMMOBILIER EXPERT ,6,247
ASCM ,6,255
L'IMMOBILIERE PARIROC ,6,294
LUCHON IMMOBILIER ,6,139
MONTFORT ET BON ,6,688
"MONTPELLIERAINE DE COPROPRIETE ""MDC"" ",6,208
MULLER ET BECHOU ,6,822
MORAZIN IMMOBILIER ,6,237
SOCIETE DES AGENCES DE L'AVANT PAYS SAVOYARD ,6,349
PARGEST ,6,665
PARTNER IMMOBILIER ,6,289
AZUR IMMOBILIER ,6,273
AG-COPRO ,6,221
SOCIETE ANONYME D'HABITATIONS A LOYER MODERE DE LA REUNION ,6,440
SIMMOGEST ,6,242
SIMPLISSIME IMMOBILIER ,6,115
PAUL ET GERAUD BENET ,6,165
POIRIER SYNDIC ,6,343
GRIFFATON ET MONTREUIL ,6,627
SEVRE ET LOIRE IMMOBILIER ,6,393
AGENCE EPERNON IMMOBILIER ,6,248
SARL THERMALE DE GESTION ,6,152
SARL XL ,6,311
PLISSON IMMOBILIER ,6,743
SARL FITIC  MC INTERNATIONAL ,6,170
SARL CABINET PROVENCE MEDITERRANEE ,6,211
AGENCE DU MARCHE ,6,245
ELYOTT IMMOBILIER ,6,332
AGENCE GESTION IMMOBILIERE DU SALIN ,6,237
EURL CABINET DEMONS ,6,293
AGENCE DU PALAIS ,6,483
AGENCE DES 3 MONTS ,6,293
SARL AGENCE VINENT ,6,231
BROSER IMMOBILIER ,6,339
BONNEFONS*DENIS JEAN-MARIE/ ,6,143
PASSION IMMO ,6,215
OUSTAL GESTION ,6,266
PACULL IMMOBILIER ,6,646
SOCIETE DE GESTION ,6,458
CABINET IMMOBILIER MARIE FRANCE DESTOMBES ,6,242
CABINET IMMOBILIER PASCAL LOBRY ,6,243
ECOBAT IMMO ,6,198
AGI IMMOBILIER ,6,184
PHILIPPE IMMOBILIER ,6,127
SCP ADMINISTRAT JUDICIAIRES P. BRIGNIER ,6,888
DWELL SYNDIC ,6,137
L IMMOBILIER EN GASCOGNE ,6,377
K2J IMMO ,6,85
VERO JPH IMMO ,6,265
ABITA PATRIMOINE CONSULTANTS ,6,250
ACANTHE PYRENEES ,6,450
LE BURO DE L'IMMO ,6,223
IMMOBILIERE NAPOLEON ,6,137
IMMOBILIERE VICTOR HUGO ,6,255
IMMOBILIERE DU VIEUX LILLE ,6,534
CITYA GAP ,6,160
CENTRAL PARC IMMO ,6,249
ADAM IMMO ,6,96
CITYA IMMOBILIER TEISSIER - SABI ,6,476
CITYA LA BELLE ETOILE ,6,273
CITYA LA SALAMANDRE ,6,256
CITYA LEMAITRE ,6,308
CABINET SIVAN IMMOBILIER ,6,437
GESTION TRANSACTIONS MONT-BLANC EN ABREGE G.T.M.B ,6,341
AGESTIM ,6,303
REGIE KUBIE ,6,406
REGIE OUEST LYONNAIS ,6,157
TYRHENIA IMMOBILIER ,6,192
CABALL IMMOBILIER ,6,274
CABINET CREDASSUR ,6,572
CABINET CHEYLUS-FRACHON-MERLLIE ,6,233
CABINET CLAUDE ANDRES ,6,179
CABINET CO.FI.'MO. ,6,315
GESTION SUD ALSACE ,6,98
CHANTAL BERNARD IMMOBILIER ,6,98
CITYA BAIE DES ANGES ,6,385
CITYA BELVIA CARCASSONNE ,6,624
VACHERAND IMMOBILIER COTE D'OPALE ,6,187
VACHERAND IMMOBILIER MAUBEUGE ,6,217
LEMARIE IMMOBILIER ,6,342
VD IMMO ,6,299
LE FIL A L IMMO ,5,113
LE MARREC IMMOBILIER ,5,207
LEPINAY MALET ,5,251
ABADO IMMOBILIER ,5,331
ATLANTIDE IMMO ,5,170
AUDITIA GESTION PARIS ,5,305
CHEZ VOUS IMMOBILIER ,5,139
CARRERE IMMOBILIER ,5,83
VALENTIN-BROCHENY IMMOBILIER ,5,200
GESTION A.D. ,5,746
CABINET BALZANO ,5,442
FREDERIC VALLET IMMOBILIER ,5,120
AGENCE LA MUZELLE ,5,359
REGIE MITANCHET ,5,214
CABINET TARIOT ,5,618
CABINET SAINT LAMBERT ,5,441
CITYA SAINT HONORE CANNES ,5,297
TRENTA IMMOBILIER ,5,134
TRIO ,5,593
TLM GESTION ,5,85
TOURNY GESTION ,5,216
ACN IMMOBILIER. ,5,207
ACTIM ,5,297
IMMOBILIERE DU CAP BRUN ,5,120
IMMOBILIERE ZENITH REGIE ,5,151
NATH'IMMO ,5,103
WEIBLEN IMMEUBLES ,5,117
YMMOSTORE ,5,288
YSYS IMMO ,5,104
ABRY IMMOBILIER ,5,302
VPAT IMMO ,5,79
KAN COPRO ,5,476
JURIGEST ,5,109
AVANTAGES IMMOBILIER ,5,119
KEY SOLUTIONS ,5,124
K.G.S. PRESTIGE ,5,920
M.V.B. PATRIMOINE IMMOBILIER ,5,250
AULPRAZ IMMOBILIER ,5,182
MAJ  IMMOBILIER ,5,282
DOMIA ,5,276
AGENCE DE LA MAIRIE ,5,212
DONNA IMMOBILIER ,5,87
SDI  SAVE DELRIEU IMMOBILIER ,5,445
DROUZIN IMMOBILIER ,5,154
HYMBERT IMMOBILIER ,5,350
BOURELLY ,5,191
SOC DE GERANCE DU CABINET TABONI ,5,581
CABINET LOISEAU ,5,300
EURL FB GESTION 77 ,5,136
SAS CABINET SANDEVOIR ,5,236
SARL AGENCE OTI ,5,347
CABINET GUILLOTTE ,5,230
SARL CGI ,5,184
AGENCE DU CAP ,5,366
ELFI ,5,89
SAS TVPJ ,5,299
SAVIGNY IMMOBILIER ,5,407
ETHICA IMMOBILIER ,5,174
ALALIA SYNDIC EXPERTISE ,5,245
HAPPY SYNDIC ,5,251
HEBDING IMMOBILIER ,5,137
HECTOR ,5,294
PCG ,5,245
SEVENIER ET CARLINI ,5,429
SOCIETE DE GESTION ET D'ADMINISTRATION ,5,123
SOCIETE D'ASSISTANCE FONCIERE ET IMMOBILIERE MEDITERRANEE ,5,227
PATRIMOINE IMMOBILIER ,5,333
PARIS ROUSSILLON IMMOBILIER ,5,317
IMMOPLUS ,5,413
MJZ ,5,192
MLB IMMOBILIER ,5,97
MODERN'IMM GESTION IMMOBILIERE ,5,207
MURCIA IMMOBILIER ,5,143
MOREL HENRY IMMOBILIER ,5,127
MORENO*SANDRINE ISABELLE/ ,5,105
AGENCE BAES ,5,150
AGENCE BASCO LANDAISE ,5,177
MC IMMO ,5,636
JR IMMOBILIER ,5,359
MEDITERRANEENNE GESTION IMMOBILIERE ,5,226
MAVILLE IMMOBILIER - LA DEFENSE ,5,315
MB IMMO ,5,321
AGENCE GUERNET ,5,149
SARL AGENCE MARINA ,5,88
SARL IMP ,5,206
SAS AGENCE EUROPEENNE PLACEMENTS IMMOBILIERS ,5,494
SARL JOUBEAUX PERE ET FILS ,5,329
SAINT ANDRE IMMOBILIER ,5,250
FL I-MMO ,5,177
CABINET EUROP GESTION IMMOB TRANS ,5,204
AGENCE PROBY - SOCIETE COMMERCIALE ET IMMOBILIERE DE TRANSACTIONS SCIT ,5,672
GITE FOUGERAIS ,5,112
AGENCE PETIT SARL ,5,237
C G S ,5,536
AIMA GESTION ,5,117
AIRE IMMOBILIER ,5,130
SOUPIZET IMMOBILIER PARIS ,5,443
SOVAMER ,5,148
SOGEAIC ,5,330
AGENCE ALPINE ,5,252
CREDIT AGRICOLE VAL DE FRANCE IMMOBILIER ,5,243
CABINET NICOLAS & CIE - ADMINISTRATEUR DE BIENS ,5,350
AGENCE BENOIST TRANSACTIONS ,5,208
DABADIE IMMOBILIER ,5,142
OLLIADE ,5,643
ALSACE RESIDENCE ,5,354
ALLAIN IMMOBILIER ,5,222
OLYMPI GESTION ,5,153
BOAN ET CIE ,5,54
ADMINISTR GERANCE EQUIP IMMOB ,5,220
ADN IMMO ,5,75
CONUS*VILLIERS/GENEVIEVE/ ,5,189
AEDES GRAND GENEVE ,5,401
REGIE DELAMARE ,5,276
FORMATH ,5,292
G.IMMO ,5,301
G.M.I. - P.A.G.E. SYNDIC ,5,435
ROCH'IMMOBILIER ,5,408
CABINET DELIQUAIRE ,5,145
AGENCE IMM MONT BLANC COTE D'AZUR ,5,332
AGENCE MONTANA IMMOBILIER ,5,161
AGENCE MOUREY ,5,82
GESTION SYNDIC PLUS ,5,220
BEAUVALLON BORDEAUX ,5,245
MFJ ,5,103
MON LOGEMENT 27 ,5,239
FOLLIOT IMMOBILIER 14 ,5,187
CABINET FUTTERER ,5,393
J2C IMMOBILIER ,5,159
JCD IMMOBILIER ,5,111
COPROGEST ,5,233
CABINET MDA IMMO ,5,123
SYGESTIM ,5,271
SYNALP IMMOBILIER ,5,353
L.E.B.C ,5,140
ATEXIA COPRO ,5,349
CABINET SOLOGNE IMMOBILIER ,5,249
CABINET PIERRE BONNEFOI SA ,5,250
CABINET RIVOIRE SA ,5,136
SYNDIC 26 ,5,298
IMMOBILIA 94 ,5,188
IMMOBILIER GESTION CONSULTANT ,5,228
IMMO VALLEY ,5,82
OBM CONSULTING ,5,160
OHAYON*NISSIM DIT MAXIME/ ,5,160
THALASSA IMMOBILIER ,5,127
CAZALS LOCATIONS ,5,71
2B@HOME ,5,211
LD PATRIMOINE GESTION ,5,227
LAMENNAIS ADB ,5,549
A3G IMMOBILIER ,5,262
LAKAZ COPRO ,5,131
VIAP IMMOBILIER ,5,96
A I C I SOC ,5,189
AAB IMMOBILIER ,4,375
VAL D ARLY IMMOBILIER ,4,125
CAROL IMMO ,4,52
CGI - CABINET DE GESTION IMMOBILIERE D. NICOLAI ,4,212
CHAMPAGNE IMMOBILIER ,4,82
ATHENA IMMOBILIER ,4,225
ATHISIA ,4,201
VDL IMMOBILIER ,4,124
VERCORS IMMOBILIER MONTAGNE ,4,69
VALLEE VERTE IMMOBILIER ,4,111
CF GESTION IMMOBILIERE ,4,133
XHIMMOBILIER ,4,451
NORD DE FRANCE PROPRIETE ,4,260
NEOUZE - CLEMENT - GOUSSE ,4,376
OFFICE PUBLIC DE L'HABITAT OPAC DE QUIMPER CORNOUAILLE ,4,92
OC & QL ,4,70
OCEINE IMMOBILIER ,4,130
IMMO HDF ,4,126
IMMO SUR MARNE ,4,206
NOVADB ,4,512
O SYNDIC TOULOUSAIN ,4,164
IMMO 88 ,4,31
IMMO COEUR D HERAULT ,4,216
OPH TROYES AUBE HABITAT ,4,99
MOUNTAIN COLLECTION IMMOBILIER ,4,137
BALMA GESTION ,4,556
AZUR SYNDIC ,4,265
BAGNOLAISE IMMOBILIERE DE GESTION ,4,177
IMMOSELIA ,4,120
IMMOSQUARE LYON ,4,193
PATRIMONIA ,4,157
PASCALE VIALAN IMMOBILIER ,4,142
I2M ,4,281
HOMNIS GESTION ,4,125
PICKERING REAL ESTATE ,4,127
PIERRE ET SANCESARIO ,4,162
PHA HUISSIERS DE JUSTICE ,4,134
HF2G IMMOBILIER ,4,132
HD IMMO ,4,105
H&A-LD ,4,172
PROXIMEA ,4,187
GROUPE ROMPTEAUX ,4,212
GRAPELOUX IMMOBILIER ,4,107
GRAVITY IMMOBILIER ,4,224
C.I.M. ,4,189
PRIVILEGE GESTION ,4,142
PLAN B IMMOBILIER ,4,247
CABINET BERTAUD ,4,166
GOULARD*FREDERIC/ ,4,230
BTC IMMOBILIER ,4,322
AGENCE PERARD ,4,324
R G IMMOBILIER ,4,122
R-IMMO ,4,261
R.E ,4,124
PROPRIETES DE PROVENCE ,4,325
PROSYNDIC ,4,160
MILESTAR ,4,51
MJA ,4,59
ANTILLAISE GESTION IMMOBIL TRANSACTION ,4,268
MICHEL ET NEUMAYER ,4,130
ANJALYS GESTION IMMOBILIERE ,4,150
AMG GROUPE IMMOBILIER ,4,79
REGIE BELLECOUR ,4,422
REGIE BOULONNAISE HABITAT SCHOLER ,4,278
AGENCE SAINTE-MARIE IMMOBILIER ,4,209
GESTION IMMOBILIERE COSTABEL ,4,262
GESTION IMMOBILIER GESIMMO ,4,146
CABINET CHARLES BAUMANN ,4,330
CABINET CITEAU ,4,174
CABINET COLLET ,4,55
GESTIMAD GESTION IMMOBILIERE ADAPTEE ,4,114
GESTIMMLOC ,4,234
GAVAUDAN D'AGOSTINO ,4,259
REGIE LAPORTE REY ,4,159
REGIE GALLICHET - LEMAITRE ,4,399
CABINET CORRAZE ,4,403
CABINET CAUX VALLEE DE SEINE ,4,99
FRANCE TRANSACTIONS ,4,145
REYNAUD*JEAN LUC/ ,4,242
REGLEY ET CLERC IMMOBILIER ,4,145
AGENCE MOTTE ,4,125
AGENCE HOBERENA ,4,52
CABINET DEBAYLE ,4,196
CABINET DALAS ,4,160
SA MONT-BLANC SOCIETE ANONYME D'HLM ,4,129
MERCIER IMMOBILIER ,4,286
JT PHIL IMMO ,4,265
JOSEPH BAUR IMMOBILIER ,4,151
JEAN-PIERRE GOUDARD ET JULIEN COULARD SAS ADMINISTRATEUR DE BIENS ,4,77
JCMG IMMO ,4,197
MATHIEU*/LAURENCE YVONNE SUZANNE/ ,4,205
MATHILDE LEMIRE IMMOBILIER ,4,117
CABINET GELIS ,4,143
CABINET EUROPAZUR ,4,464
FIDUCIA GESTION ,4,280
FLOORS IMMOBILIER ,4,405
SAINT-PIERRE IMMOBILIER ,4,103
"SANDRINE THIERY, GUILLAUME THIERY, HUISSIERS DE JUSTICE ASSOCIES, SOCIETE CIVILE PROFESSIONNELLE TITULAIRE D'UN OFFICE ",4,112
AGENCE IMMOBILIERE DU GRAND LARGE ,4,188
AGENCE IMMO SERVICES ,4,134
AGENCE IMMOBILIERE CEVENOLE ,4,154
SARL SAINT MICHEL ,4,75
F-GESTION ,4,40
CABINET IMMOBILIER BORDEAUX BASSIN ,4,156
